hour,season,holiday,workingday,weather,temp,atemp,humidity,windspeed,count
16,1,0,1,2,8.2,10.605,37,11.0014,87
17,1,0,1,2,8.2,12.88,37,0,187
18,1,0,1,1,8.2,11.365,40,6.0032,123
19,1,0,1,1,6.56,9.85,55,6.0032,95
20,1,0,1,1,7.38,10.605,47,7.0015,51
21,1,0,1,1,7.38,9.85,47,8.9981,39
22,1,0,1,2,7.38,9.85,43,11.0014,36
23,1,0,1,2,7.38,9.85,51,11.0014,15
0,1,0,0,2,7.38,9.85,51,11.0014,25
1,1,0,0,2,7.38,10.605,55,6.0032,16
2,1,0,0,2,7.38,12.12,55,0,16
3,1,0,0,3,7.38,9.85,55,11.0014,7
4,1,0,0,3,7.38,9.85,55,11.0014,1
5,1,0,0,2,6.56,8.335,74,11.0014,5
6,1,0,0,2,6.56,8.335,74,11.0014,2
7,1,0,0,2,6.56,9.09,74,7.0015,9
8,1,0,0,3,6.56,9.09,93,7.0015,15
9,1,0,0,3,6.56,9.09,93,7.0015,20
10,1,0,0,2,7.38,9.85,80,11.0014,61
11,1,0,0,2,8.2,9.09,69,26.0027,62
12,1,0,0,2,8.2,9.09,59,23.9994,98
13,1,0,0,1,8.2,9.09,44,22.0028,102
14,1,0,0,1,8.2,8.335,32,32.9975,95
15,1,0,0,1,8.2,8.335,32,30.0026,74
16,1,0,0,1,7.38,6.82,29,30.0026,76
17,1,0,0,1,6.56,6.06,37,36.9974,69
18,1,0,0,1,5.74,6.06,39,19.9995,55
19,1,0,0,1,5.74,6.06,36,16.9979,30
20,1,0,0,1,4.92,6.06,36,16.9979,28
21,1,0,0,1,4.92,5.305,39,23.9994,37
22,1,0,0,1,4.92,5.305,36,26.0027,34
23,1,0,0,1,4.1,3.03,39,30.0026,22
0,1,0,0,1,4.1,3.79,42,26.0027,25
1,1,0,0,1,4.1,3.03,42,31.0009,12
2,1,0,0,1,4.1,3.03,46,31.0009,11
3,1,0,0,1,4.1,3.79,46,27.9993,4
4,1,0,0,1,3.28,4.545,53,12.998,1
5,1,0,0,1,3.28,4.545,53,12.998,1
6,1,0,0,1,4.1,4.545,49,19.0012,1
7,1,0,0,1,3.28,4.545,53,12.998,6
8,1,0,0,1,4.1,4.545,49,19.0012,10
9,1,0,0,1,4.92,3.79,46,35.0008,19
10,1,0,0,1,5.74,5.305,43,26.0027,49
11,1,0,0,1,6.56,6.06,40,35.0008,49
12,1,0,0,1,7.38,6.82,37,30.0026,83
13,1,0,0,1,8.2,8.335,34,30.0026,75
14,1,0,0,1,9.02,9.09,32,31.0009,72
15,1,0,0,1,9.02,9.85,35,23.9994,82
16,1,0,0,1,8.2,8.335,34,30.0026,92
17,1,0,0,1,7.38,7.575,37,26.0027,62
18,1,0,0,1,6.56,6.82,40,22.0028,48
19,1,0,0,1,6.56,6.82,43,22.0028,41
20,1,0,0,1,5.74,6.06,46,16.9979,38
21,1,0,0,1,5.74,5.305,46,27.9993,20
22,1,0,0,1,5.74,6.06,46,19.9995,15
23,1,0,0,1,4.92,6.82,50,12.998,6
0,1,0,1,1,4.92,6.06,50,19.0012,5
1,1,0,1,1,4.92,6.06,50,19.0012,1
2,1,0,1,1,4.92,6.06,50,15.0013,3
3,1,0,1,1,4.92,6.06,50,15.0013,1
4,1,0,1,1,4.1,6.06,54,8.9981,3
5,1,0,1,1,4.1,5.305,54,16.9979,3
6,1,0,1,1,4.92,6.06,50,19.0012,31
7,1,0,1,1,4.92,6.06,50,15.0013,77
8,1,0,1,2,4.92,6.06,50,19.0012,188
9,1,0,1,2,5.74,6.06,50,16.9979,94
10,1,0,1,2,5.74,6.06,50,19.9995,31
11,1,0,1,2,6.56,6.82,47,19.0012,30
12,1,0,1,2,8.2,9.09,40,19.0012,52
13,1,0,1,2,8.2,9.09,40,19.0012,54
14,1,0,1,2,8.2,9.85,40,15.0013,47
15,1,0,1,2,8.2,9.85,40,15.0013,45
16,1,0,1,1,8.2,10.605,40,8.9981,74
17,1,0,1,1,8.2,11.365,40,7.0015,178
18,1,0,1,1,8.2,9.85,40,15.0013,155
19,1,0,1,1,6.56,8.335,47,11.0014,95
20,1,0,1,1,6.56,8.335,50,11.0014,74
21,1,0,1,1,5.74,6.82,59,12.998,38
22,1,0,1,1,5.74,7.575,59,11.0014,24
23,1,0,1,1,5.74,7.575,59,11.0014,18
0,1,0,1,1,5.74,8.335,59,7.0015,12
1,1,0,1,1,5.74,7.575,59,11.0014,3
2,1,0,1,2,6.56,7.575,55,12.998,3
5,1,0,1,2,6.56,9.09,55,8.9981,6
6,1,0,1,2,6.56,9.09,55,8.9981,27
7,1,0,1,2,6.56,11.365,55,0,99
8,1,0,1,2,7.38,10.605,51,6.0032,217
9,1,0,1,2,7.38,9.85,51,11.0014,130
10,1,0,1,2,8.2,10.605,51,11.0014,54
11,1,0,1,2,8.2,10.605,47,8.9981,35
12,1,0,1,2,8.2,11.365,51,7.0015,57
13,1,0,1,2,8.2,11.365,59,6.0032,52
14,1,0,1,2,8.2,11.365,59,6.0032,63
15,1,0,1,2,6.56,9.85,80,6.0032,47
16,1,0,1,2,6.56,7.575,86,15.0013,76
17,1,0,1,2,6.56,7.575,86,15.0013,136
18,1,0,1,3,6.56,9.09,93,7.0015,95
19,1,0,1,3,6.56,11.365,93,0,51
20,1,0,1,3,6.56,7.575,93,12.998,32
21,1,0,1,3,6.56,9.85,86,6.0032,20
22,1,0,1,3,6.56,9.09,93,7.0015,29
23,1,0,1,3,6.56,9.85,93,6.0032,19
0,1,0,1,2,6.56,9.85,86,6.0032,7
1,1,0,1,2,6.56,9.09,86,7.0015,6
2,1,0,1,1,5.74,7.575,86,8.9981,1
5,1,0,1,1,5.74,7.575,86,11.0014,5
6,1,0,1,1,4.92,7.575,93,8.9981,16
7,1,0,1,1,5.74,7.575,69,8.9981,54
8,1,0,1,1,6.56,8.335,59,11.0014,128
9,1,0,1,1,6.56,6.82,59,22.0028,81
10,1,0,1,1,7.38,9.09,55,15.0013,39
11,1,0,1,1,8.2,9.09,51,26.0027,35
12,1,0,1,1,8.2,7.575,47,39.0007,55
13,1,0,1,1,9.02,9.85,44,23.9994,49
14,1,0,1,1,8.2,9.09,47,22.0028,44
15,1,0,1,1,8.2,8.335,47,27.9993,49
16,1,0,1,1,9.02,9.85,44,22.0028,68
17,1,0,1,1,8.2,9.09,47,23.9994,139
18,1,0,1,1,8.2,7.575,47,35.0008,137
19,1,0,1,1,7.38,7.575,47,27.9993,83
20,1,0,1,1,6.56,6.82,50,22.0028,56
21,1,0,1,1,6.56,6.82,55,22.0028,57
22,1,0,1,1,6.56,6.06,55,30.0026,33
23,1,0,1,1,5.74,5.305,59,27.9993,20
0,1,0,1,1,5.74,6.06,59,19.0012,7
1,1,0,1,1,5.74,6.06,50,19.0012,2
2,1,0,1,1,5.74,6.06,50,23.9994,2
3,1,0,1,1,5.74,6.06,50,22.0028,3
4,1,0,1,1,5.74,6.06,50,16.9979,4
5,1,0,1,1,5.74,6.06,50,19.9995,3
6,1,0,1,1,4.92,7.575,54,8.9981,28
7,1,0,1,1,4.92,7.575,54,8.9981,72
8,1,0,1,1,5.74,6.82,50,12.998,202
9,1,0,1,1,5.74,6.06,50,22.0028,139
10,1,0,1,2,6.56,6.82,50,23.9994,38
11,1,0,1,2,8.2,8.335,44,30.0026,37
12,1,0,1,1,8.2,8.335,44,27.9993,52
13,1,0,1,1,9.02,9.85,41,30.0026,83
14,1,0,1,1,9.02,9.85,41,26.0027,42
15,1,0,1,1,9.84,10.605,38,19.9995,60
16,1,0,1,1,9.84,10.605,38,23.9994,78
17,1,0,1,1,8.2,9.09,40,19.0012,162
18,1,0,1,1,8.2,9.09,40,22.0028,144
19,1,0,1,1,6.56,7.575,47,16.9979,99
20,1,0,1,1,6.56,7.575,47,15.0013,64
21,1,0,1,1,5.74,6.06,46,19.9995,40
22,1,0,1,1,5.74,6.06,46,22.0028,30
23,1,0,1,1,4.92,6.82,50,12.998,15
0,1,0,1,1,4.92,6.82,50,12.998,14
1,1,0,1,1,4.1,6.06,54,11.0014,5
2,1,0,1,1,4.1,6.06,54,8.9981,1
3,1,0,1,1,4.1,6.82,54,7.0015,1
5,1,0,1,1,4.1,6.82,54,6.0032,8
6,1,0,1,1,4.1,9.09,54,0,17
7,1,0,1,1,4.1,6.06,74,11.0014,70
8,1,0,1,1,4.92,8.335,68,0,158
9,1,0,1,1,5.74,7.575,69,8.9981,117
10,1,0,1,1,7.38,9.09,55,12.998,44
11,1,0,1,1,7.38,8.335,51,19.0012,53
12,1,0,1,1,8.2,9.85,44,16.9979,61
13,1,0,1,1,9.02,9.85,37,26.0027,77
14,1,0,1,1,9.02,10.605,41,19.0012,64
15,1,0,1,1,9.84,12.12,38,11.0014,68
16,1,0,1,1,9.02,12.12,41,7.0015,90
17,1,0,1,1,9.02,11.365,41,11.0014,159
18,1,0,1,1,8.2,12.88,47,0,139
19,1,0,1,1,6.56,9.85,59,6.0032,92
20,1,0,1,1,7.38,12.12,59,0,68
21,1,0,1,1,6.56,11.365,69,0,52
22,1,0,1,2,6.56,11.365,69,0,36
23,1,0,1,2,7.38,12.12,55,0,27
0,1,0,0,1,7.38,12.12,55,0,28
1,1,0,0,2,6.56,9.85,59,6.0032,20
2,1,0,0,2,6.56,9.85,59,6.0032,12
3,1,0,0,2,6.56,11.365,59,0,8
4,1,0,0,2,6.56,11.365,59,0,5
5,1,0,0,1,6.56,11.365,59,0,1
6,1,0,0,1,5.74,8.335,63,7.0015,3
7,1,0,0,1,5.74,10.605,63,0,10
8,1,0,0,1,5.74,7.575,63,8.9981,23
9,1,0,0,1,6.56,9.09,64,8.9981,33
10,1,0,0,1,7.38,9.85,59,11.0014,59
11,1,0,0,1,8.2,9.85,55,15.0013,72
12,1,0,0,1,9.84,11.365,48,15.0013,89
13,1,0,0,1,11.48,12.88,38,19.9995,101
14,1,0,0,1,12.3,14.395,39,19.0012,118
15,1,0,0,2,13.12,15.91,36,12.998,129
16,1,0,0,2,13.94,16.665,34,12.998,128
17,1,0,0,2,13.12,15.15,36,19.0012,83
18,1,0,0,2,12.3,14.395,45,16.9979,84
19,1,0,0,2,13.12,15.15,39,16.9979,74
20,1,0,0,2,13.12,15.15,39,16.9979,41
21,1,0,0,2,13.12,15.15,39,15.0013,57
22,1,0,0,2,12.3,15.91,42,7.0015,26
23,1,0,0,1,12.3,14.395,45,19.0012,44
0,1,0,0,1,10.66,15.15,56,0,39
1,1,0,0,1,10.66,13.635,56,8.9981,23
2,1,0,0,1,10.66,14.395,56,6.0032,16
3,1,0,0,1,9.02,13.635,69,0,15
4,1,0,0,1,10.66,12.88,56,11.0014,1
5,1,0,0,2,10.66,12.88,56,11.0014,2
6,1,0,0,2,10.66,12.88,56,11.0014,1
7,1,0,0,2,9.84,10.605,56,19.9995,3
8,1,0,0,1,9.02,10.605,55,19.0012,18
9,1,0,0,1,9.02,10.605,51,16.9979,32
10,1,0,0,1,9.02,10.605,51,19.0012,79
11,1,0,0,1,9.84,11.365,44,16.9979,93
12,1,0,0,1,9.84,10.605,41,19.0012,104
13,1,0,0,1,10.66,11.365,35,19.9995,118
14,1,0,0,1,11.48,13.635,36,16.9979,91
15,1,0,0,1,10.66,12.12,38,16.9979,113
16,1,0,0,1,9.84,11.365,38,15.0013,99
17,1,0,0,1,9.02,10.605,37,16.9979,105
18,1,0,0,1,8.2,10.605,40,11.0014,67
19,1,0,0,1,7.38,9.85,47,8.9981,61
20,1,0,0,1,7.38,9.85,47,11.0014,57
21,1,0,0,1,7.38,9.85,51,11.0014,28
22,1,0,0,2,8.2,10.605,49,8.9981,21
23,1,0,0,2,8.2,11.365,40,7.0015,18
0,1,1,0,2,8.2,9.85,47,15.0013,17
1,1,1,0,2,8.2,9.85,44,12.998,16
2,1,1,0,2,7.38,8.335,43,16.9979,8
3,1,1,0,2,7.38,9.09,43,12.998,2
4,1,1,0,2,7.38,9.85,43,8.9981,3
5,1,1,0,2,7.38,9.85,43,11.0014,1
6,1,1,0,2,7.38,9.09,43,12.998,5
7,1,1,0,2,6.56,9.09,50,8.9981,13
8,1,1,0,2,6.56,7.575,47,15.0013,33
9,1,1,0,2,6.56,7.575,47,15.0013,47
10,1,1,0,2,6.56,7.575,50,16.9979,57
11,1,1,0,2,6.56,7.575,55,12.998,64
12,1,1,0,2,7.38,9.85,47,8.9981,80
13,1,1,0,2,7.38,9.85,47,8.9981,93
14,1,1,0,2,7.38,10.605,43,7.0015,86
15,1,1,0,2,8.2,10.605,47,11.0014,93
16,1,1,0,2,8.2,10.605,47,11.0014,82
17,1,1,0,1,8.2,9.85,51,12.998,71
18,1,1,0,2,7.38,8.335,55,16.9979,92
19,1,1,0,3,7.38,9.09,59,12.998,60
20,1,1,0,3,6.56,7.575,80,12.998,33
21,1,1,0,3,6.56,7.575,80,12.998,27
22,1,1,0,3,5.74,6.06,93,16.9979,13
23,1,1,0,3,6.56,6.82,86,19.0012,4
12,1,0,1,2,8.2,9.09,86,22.0028,3
13,1,0,1,2,8.2,9.85,86,15.0013,22
14,1,0,1,2,9.02,11.365,80,11.0014,28
15,1,0,1,2,9.02,11.365,87,11.0014,35
16,1,0,1,2,9.02,11.365,87,12.998,61
17,1,0,1,2,9.02,11.365,82,12.998,125
18,1,0,1,2,9.02,11.365,80,11.0014,133
19,1,0,1,2,9.02,11.365,80,8.9981,99
20,1,0,1,2,9.02,13.635,87,0,83
21,1,0,1,2,9.02,12.12,93,7.0015,41
22,1,0,1,2,9.02,12.88,93,6.0032,33
23,1,0,1,2,9.02,13.635,93,0,20
0,1,0,1,2,9.02,13.635,93,0,3
1,1,0,1,3,9.02,11.365,93,8.9981,7
2,1,0,1,3,9.02,11.365,93,8.9981,3
4,1,0,1,3,9.02,11.365,93,8.9981,2
5,1,0,1,2,9.02,12.88,93,6.0032,7
6,1,0,1,2,9.02,12.88,93,6.0032,32
7,1,0,1,2,9.84,12.88,92,7.0015,90
8,1,0,1,2,9.84,12.88,93,7.0015,197
9,1,0,1,2,9.84,12.88,93,7.0015,109
10,1,0,1,2,10.66,13.635,93,8.9981,47
11,1,0,1,2,11.48,15.15,87,6.0032,52
12,1,0,1,2,12.3,15.91,81,6.0032,70
13,1,0,1,1,16.4,20.455,62,19.0012,78
14,1,0,1,1,16.4,20.455,58,16.9979,75
15,1,0,1,1,16.4,20.455,54,19.0012,82
16,1,0,1,1,15.58,19.695,58,26.0027,104
17,1,0,1,1,14.76,16.665,57,22.0028,197
18,1,0,1,1,13.94,15.91,61,19.0012,161
19,1,0,1,1,13.12,14.395,57,27.9993,112
20,1,0,1,1,13.12,15.15,49,19.9995,76
21,1,0,1,1,13.12,14.395,49,27.9993,59
22,1,0,1,1,12.3,15.15,52,11.0014,59
23,1,0,1,1,12.3,13.635,52,31.0009,28
0,1,0,1,2,6.56,9.09,64,7.0015,8
1,1,0,1,2,6.56,9.09,69,7.0015,3
2,1,0,1,2,6.56,11.365,69,0,2
3,1,0,1,2,6.56,11.365,69,0,2
5,1,0,1,3,5.74,10.605,93,0,3
6,1,0,1,3,5.74,10.605,93,0,22
7,1,0,1,3,6.56,11.365,93,0,52
8,1,0,1,3,6.56,11.365,93,0,135
9,1,0,1,2,6.56,11.365,93,0,116
10,1,0,1,2,6.56,11.365,93,0,47
11,1,0,1,2,7.38,12.12,86,0,51
12,1,0,1,2,8.2,12.88,86,0,55
13,1,0,1,2,8.2,12.88,86,0,52
14,1,0,1,2,9.02,12.88,80,6.0032,54
15,1,0,1,2,9.84,14.395,75,0,52
16,1,0,1,2,9.84,12.12,75,8.9981,64
17,1,0,1,2,9.84,14.395,75,0,176
18,1,0,1,2,9.84,12.88,81,7.0015,168
19,1,0,1,2,9.84,12.12,81,8.9981,108
20,1,0,1,2,9.02,11.365,87,8.9981,74
21,1,0,1,2,9.02,11.365,87,8.9981,64
22,1,0,1,2,9.02,12.88,87,6.0032,36
23,1,0,1,3,8.2,9.85,93,12.998,16
0,1,0,1,3,9.02,12.12,93,7.0015,2
1,1,0,1,3,9.02,11.365,93,12.998,3
2,1,0,1,3,9.02,11.365,93,8.9981,4
3,1,0,1,3,9.02,11.365,93,8.9981,1
4,1,0,1,3,9.02,10.605,93,19.0012,1
5,1,0,1,3,9.02,12.12,93,7.0015,3
6,1,0,1,3,9.02,12.12,93,7.0015,18
7,1,0,1,3,9.02,10.605,93,15.0013,49
8,1,0,1,3,9.02,10.605,93,15.0013,155
9,1,0,1,2,9.84,12.88,93,6.0032,123
10,1,0,1,2,9.02,13.635,100,0,61
11,1,0,1,2,9.84,11.365,93,12.998,52
12,1,0,1,2,9.84,11.365,93,15.0013,64
13,1,0,1,1,13.94,16.665,93,11.0014,75
14,1,0,1,1,15.58,19.695,82,26.0027,63
15,1,0,1,1,15.58,19.695,76,22.0028,76
16,1,0,1,1,14.76,16.665,71,19.9995,103
17,1,0,1,1,14.76,15.91,53,35.0008,190
18,1,0,1,1,13.94,14.395,42,36.9974,182
19,1,0,1,1,11.48,12.12,45,32.9975,91
20,1,0,1,1,9.84,9.85,48,36.9974,75
21,1,0,1,1,9.02,9.85,47,22.0028,63
22,1,0,1,1,9.02,10.605,44,16.9979,40
23,1,0,1,1,8.2,8.335,44,30.0026,32
0,1,0,1,1,8.2,8.335,40,30.0026,12
1,1,0,1,1,8.2,7.575,44,35.0008,5
2,1,0,1,1,7.38,8.335,43,16.9979,2
3,1,0,1,1,7.38,8.335,43,16.9979,1
5,1,0,1,1,6.56,6.82,50,19.9995,2
6,1,0,1,1,6.56,6.82,43,23.9994,39
7,1,0,1,1,5.74,6.06,50,22.0028,87
8,1,0,1,1,5.74,6.06,50,23.9994,188
9,1,0,1,1,6.56,6.82,47,19.9995,133
10,1,0,1,1,7.38,7.575,43,22.0028,52
11,1,0,1,1,7.38,6.82,43,30.0026,64
12,1,0,1,1,8.2,9.09,40,23.9994,69
13,1,0,1,1,8.2,8.335,40,27.9993,51
14,1,0,1,1,9.02,9.85,37,26.0027,47
15,1,0,1,1,9.02,9.85,37,22.0028,60
16,1,0,1,1,9.02,10.605,37,16.9979,78
17,1,0,1,1,8.2,9.85,40,12.998,175
18,1,0,1,1,8.2,10.605,40,11.0014,147
19,1,0,1,1,8.2,12.88,40,0,96
20,1,0,1,1,8.2,11.365,47,6.0032,109
21,1,0,1,1,7.38,10.605,55,7.0015,54
22,1,0,1,1,7.38,10.605,51,6.0032,41
23,1,0,1,1,8.2,11.365,47,7.0015,38
0,1,0,1,2,8.2,12.88,44,0,13
1,1,0,1,2,6.56,11.365,59,0,7
2,1,0,1,2,5.74,8.335,63,7.0015,1
3,1,0,1,2,5.74,8.335,63,7.0015,1
5,1,0,1,2,5.74,7.575,63,8.9981,7
6,1,0,1,2,6.56,11.365,55,0,28
7,1,0,1,1,5.74,10.605,59,0,87
8,1,0,1,1,5.74,7.575,74,8.9981,220
9,1,0,1,2,6.56,9.09,80,8.9981,127
10,1,0,1,2,8.2,10.605,51,8.9981,51
11,1,0,1,1,9.02,11.365,51,11.0014,64
12,1,0,1,2,9.84,12.12,48,11.0014,86
13,1,0,1,2,10.66,12.88,50,15.0013,82
14,1,0,1,2,11.48,13.635,45,11.0014,91
15,1,0,1,2,11.48,13.635,48,16.9979,90
16,1,0,1,2,12.3,14.395,42,15.0013,99
17,1,0,1,2,10.66,13.635,56,8.9981,205
18,1,0,1,2,9.84,12.88,60,7.0015,155
19,1,0,1,2,9.84,12.12,65,8.9981,103
20,1,0,1,2,9.84,12.12,65,11.0014,71
21,1,0,1,2,9.84,12.12,70,11.0014,43
22,1,0,1,2,9.84,12.12,65,11.0014,46
23,1,0,1,2,9.84,12.12,70,8.9981,31
